"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","cohort","significant"
-0.0807133580999996,1.188783388,-1.12165034652046,0.287872550638521,0.661829336875724,-4.85292755096026,"1700123O20Rik","GSE41345",FALSE
-0.0262483688500002,0.413104966888889,-0.236733265211296,0.817578099607887,0.939190513968695,-5.3313358396707,"1810009N02Rik","GSE41345",FALSE
-0.0395648252499997,1.38928128522222,-0.459330475441983,0.655687504942105,0.866553044980333,-5.26588315998748,"1810026J23Rik","GSE41345",FALSE
0.1099105342,0.559637864111111,1.91141714915431,0.084604026167119,0.573793150721065,-4.06371618322071,"1810043G02Rik","GSE41345",FALSE
-0.0774263776000003,1.19182138822222,-1.34995996053387,0.206394344234204,0.60599416791512,-4.64937174950309,"1810055G02Rik","GSE41345",FALSE
0.147846889500002,3.77960424066667,1.75925606618235,0.108619843119884,0.573793150721065,-4.23142047125514,"1810064F22Rik","GSE41345",FALSE
0.0628266952000048,3.34656260044444,0.743015354811983,0.474336447134031,0.776942859103912,-5.12592706977356,"2010107E04Rik","GSE41345",FALSE
-0.0027920538,0.014751717,-0.0441438941794906,0.965647017643975,0.992815068293286,-5.3544733550082,"2010111I01Rik","GSE41345",FALSE
0.226912228449996,3.32237254711112,1.34068615831023,0.209286496474729,0.607336039288225,-4.65811821813017,"2210016L21Rik","GSE41345",FALSE
0.107618566399999,2.60057472155555,0.879362702164749,0.399566312644489,0.734986193986031,-5.03805744267248,"2210418O10Rik","GSE41345",FALSE
0.0379628213499995,0.938267165444444,0.478331634574608,0.642561062403018,0.859076202995339,-5.25843356966597,"2310003H01Rik","GSE41345",FALSE
0.0289363131,-0.035182621,0.511954424064644,0.619648413825883,0.847553687918767,-5.24455347554304,"2310011J03Rik","GSE41345",FALSE
0.0704978885999971,2.55682601833333,0.834261445072235,0.423353704567863,0.746660403284516,-5.06850690283036,"2310022B05Rik","GSE41345",FALSE
0.14712137795,0.552147143888889,1.62841972723872,0.134073966282361,0.57817881478681,-4.37102387872402,"2310033P09Rik","GSE41345",FALSE
-0.0793984193500002,0.00121021122222209,-0.993859344949496,0.34341792093089,0.708659567491277,-4.95493043874168,"2310035C23Rik","GSE41345",FALSE
0.23231903874999,2.10353129511111,2.08894637483949,0.0628647061524459,0.564515411734788,-3.86258511147553,"2310036O22Rik","GSE41345",FALSE
0.21340111855,0.693342535777778,1.7156652992333,0.11656872377288,0.573793150721065,-4.27845637616382,"2310039H08Rik","GSE41345",FALSE
0.176405904349999,2.62763376455555,1.67576170296891,0.12430272018491,0.573793150721065,-4.32106573905202,"2310047M10Rik","GSE41345",FALSE
-0.00100127490000004,0.264667517333333,-0.0135482750604125,0.989453262323805,0.99767409443427,-5.35523088325167,"2310067B10Rik","GSE41345",FALSE
0.045100090899999,2.60828335944445,0.559488524375574,0.587973903139279,0.832440312614089,-5.22342718924228,"2410002F23Rik","GSE41345",FALSE
-0.00266880890000024,0.957076533111111,-0.0357665119273833,0.97216292434564,0.994556490641638,-5.35476063527164,"2410015M20Rik","GSE41345",FALSE
0.0821224223500001,0.429714706777778,1.57823045132368,0.145174488201979,0.579936514910764,-4.42323381932785,"2410016O06Rik","GSE41345",FALSE
-0.0452270452000006,0.625665690222222,-0.274485023966457,0.789223513818456,0.928819625483433,-5.32311715053209,"2510003E04Rik","GSE41345",FALSE
0.0535703195500055,2.06427046911111,0.743472976692895,0.474071331952439,0.776942859103912,-5.1256534395097,"2510009E07Rik","GSE41345",FALSE
0.0594603799499999,0.836388874333333,1.1150656602699,0.290554333547385,0.663917310412082,-4.8584071440434,"2610002J02Rik","GSE41345",FALSE
-0.0834782725499996,-0.192984231666667,-0.906834357589709,0.385539396840541,0.730086829836255,-5.01886235513457,"2610034M16Rik","GSE41345",FALSE
-0.1213315013,-0.135114085888889,-1.19597340540076,0.258927178844442,0.641851050902518,-4.78948546859793,"2610301B20Rik","GSE41345",FALSE
0.14149259945,2.50764034855556,1.40623282899589,0.189555315499776,0.596239110339268,-4.59551201505451,"2610507B11Rik","GSE41345",FALSE
0.351297119650001,0.927202789777778,5.22715452883422,0.000368832209591897,0.519305144899208,-0.656163808045575,"2610524H06Rik","GSE41345",FALSE
0.0455245095999977,3.00615084177778,0.79280727521286,0.44604499783941,0.759165420805862,-5.09529961249371,"2700060E02Rik","GSE41345",FALSE
0.0725664132999965,2.08841795344444,1.00539245460023,0.338098823346559,0.703063572813022,-4.94611161421683,"2700094K13Rik","GSE41345",FALSE
-0.2527448724,0.764289751,-2.54164271717046,0.0289946479636826,0.537623773850961,-3.33615002976707,"2700097O09Rik","GSE41345",FALSE
-0.0744191801499969,1.97268627522222,-1.13376636995357,0.282988349101886,0.65795769687451,-4.84278384330167,"2810403A07Rik","GSE41345",FALSE
0.221811101649998,1.67589031344444,2.70307540651306,0.021943963459489,0.537623773850961,-3.14761397936174,"2810428I15Rik","GSE41345",FALSE
-0.168086886899999,4.46254305833333,-0.902902635046045,0.387525423233908,0.730501050085571,-5.02163917707491,"2900011O08Rik","GSE41345",FALSE
-0.0864217259999993,0.610229624,-1.45880309250569,0.174892524040441,0.590052931837169,-4.54402796052715,"3010026O09Rik","GSE41345",FALSE
-0.0882613465500004,0.616789336666666,-1.06931635848445,0.309723457349919,0.67958968631025,-4.89582110413658,"3110009E18Rik","GSE41345",FALSE
-0.155747132449999,4.08334954944444,-1.22158742438762,0.249506250144523,0.636771264918437,-4.76696451958634,"3110035E14Rik","GSE41345",FALSE
-0.0274353515999998,0.0862556109999999,-0.410467534305176,0.690002764917452,0.883254635185195,-5.28371729351616,"3110040N11Rik","GSE41345",FALSE
-0.12182279975,-0.189718847555555,-1.01767675437673,0.332500647203467,0.699020705811636,-4.93663167834916,"3110057O12Rik","GSE41345",FALSE
0.00996762824999999,0.050559278,0.157107362265073,0.878244822739063,0.965341900844179,-5.34473107655886,"3110082I17Rik","GSE41345",FALSE
-0.0604396656000005,1.417846426,-0.439587126845605,0.669457842941859,0.870617866134646,-5.27331948818867,"3632451O06Rik","GSE41345",FALSE
-0.608858718749999,2.767522709,-2.59046170880534,0.0266530717627456,0.537623773850961,-3.27906023368681,"3830406C13Rik","GSE41345",FALSE
-0.12277993155,0.432570091333333,-0.873317032730269,0.40270024418369,0.738021486451422,-5.04221638570267,"4833420G17Rik","GSE41345",FALSE
0.0225880597999979,2.17327411888889,0.15832973760487,0.87730612399769,0.965341900844179,-5.34456607098685,"4833424O15Rik","GSE41345",FALSE
0.0640569118000024,2.98529691477778,0.366588747560288,0.721460402269842,0.898573674647274,-5.29808976622823,"4833439L19Rik","GSE41345",FALSE
0.0174533782500001,0.881232155,0.256800708409387,0.802468610589242,0.93374462464272,-5.32711584538536,"4930402H24Rik","GSE41345",FALSE
-0.0919484320000006,1.34877309222222,-1.31125200420593,0.218690560567138,0.617688005795592,-4.68562726978243,"4930453N24Rik","GSE41345",FALSE
0.00214084124999999,0.0629839730000002,0.0214777083717299,0.983281396598113,0.997040630069024,-5.35511167837573,"4930506M07Rik","GSE41345",FALSE
-0.0576685129999999,0.202273087777778,-0.482120739518573,0.639958599624316,0.857079252409234,-5.25691383156118,"4930539E08Rik","GSE41345",FALSE
-0.12464528375,-0.019130657888889,-1.09459300620898,0.299016102615592,0.674390968466204,-4.87529290496549,"4931406C07Rik","GSE41345",FALSE
-0.10854497105,0.536843664444444,-1.62848400577226,0.134060247131437,0.57817881478681,-4.37095650429438,"4931406P16Rik","GSE41345",FALSE
-0.045575358,1.53470891633333,-0.702321020033364,0.498285270229263,0.792448003079841,-5.14966733851396,"4933411K20Rik","GSE41345",FALSE
0.0770721324499999,1.19411115888889,1.02789639710514,0.327896209262226,0.697009031408964,-4.92867748569695,"4933426M11Rik","GSE41345",FALSE
0.2761657612,0.132298807111111,1.19978629030902,0.257507014045477,0.641365508558957,-4.78615384323665,"4933427D14Rik","GSE41345",FALSE
0.0388963404999997,1.54698200544444,0.544917993627512,0.59759111115889,0.838075595907721,-5.23008858347504,"4933428G20Rik","GSE41345",FALSE
0.01440311125,-0.0120902432222222,0.212653809079339,0.835811603664334,0.947052648798916,-5.33595229233546,"5730409E04Rik","GSE41345",FALSE
0.0608525562,1.25033124233333,0.828711952071152,0.426345596859547,0.749934023356364,-5.0721606777754,"6030419C18Rik","GSE41345",FALSE
0.0550899967999978,3.18083720022222,0.764977687255961,0.461719214850186,0.769735537351897,-5.11262970254022,"6330403K07Rik","GSE41345",FALSE
-0.0506752275499994,2.63127081344444,-0.55985717790376,0.587731648651282,0.832440312614089,-5.22325653246528,"6430548M08Rik","GSE41345",FALSE
-0.0904060850999999,0.181552543333333,-1.35056568208235,0.206206611087376,0.60599416791512,-4.64879916876684,"6430573F11Rik","GSE41345",FALSE
