gene,log2FC_BaP_vs_Control,welch_p,n_bap,n_control,BH_p
Evi2,-0.1964504145,0.02923557117160212,4,4,0.7543633544422349
Cideb,0.3379590175000001,0.02925851184032379,4,4,0.7543633544422349
Gm6643,0.19399953450000001,0.029259406573234663,4,4,0.7543633544422349
Mtss2,-0.16742880524999992,0.029271954544137006,4,4,0.7543633544422349
Net1,0.40432551212500006,0.029322188768706087,4,4,0.7543633544422349
Gm8990,0.40432551212500006,0.029322188768706087,4,4,0.7543633544422349
Gm22333,-0.38179718825,0.029336331242143885,4,4,0.7543633544422349
Ric8b,-0.1183922622500001,0.029375147218736804,4,4,0.7543633544422349
Mir7578,-0.19889791749999997,0.029383909652168243,4,4,0.7543633544422349
Tmem184c,0.15974559175000003,0.02943885277731649,4,4,0.7543633544422349
Znf41-ps,0.18558031375000006,0.029446791434688094,4,4,0.7543633544422349
Pwp2,-0.26148667225,0.029450539510831528,4,4,0.7543633544422349
Ddrgk1,0.1003772845,0.029455308416483895,4,4,0.7543633544422349
Gm71342,-0.3505399255000001,0.029504069708147916,4,4,0.7543633544422349
Ifi203-ps,-0.3505399255000001,0.029504069708147916,4,4,0.7543633544422349
4930563F08Rik,-0.172624802,0.02950724927816747,4,4,0.7543633544422349
Plpp6,0.400784456,0.02952013590071734,4,4,0.7543633544422349
Gm14601,0.16198268125000004,0.029524596745966115,4,4,0.7543633544422349
Gm15482,0.16198268125000004,0.029524596745966115,4,4,0.7543633544422349
Serf1,-0.25015457750000003,0.029648421575807226,4,4,0.7546611244456737
Tcp10b,-0.073267688,0.029656024577870362,4,4,0.7546611244456737
Cetn4,0.20689022175000005,0.0296608903643215,4,4,0.7546611244456737
1700085B13Rik,-0.254044445,0.029670954842730003,4,4,0.7546611244456737
Xk,0.13956244812499996,0.02971906671433396,4,4,0.7546611244456737
Srrm1,-0.6546816009999998,0.02980558157097984,4,4,0.7546611244456737
Gm44423,-0.12878674,0.029807575327086847,4,4,0.7546611244456737
Angel1,0.14642406150000004,0.029825171027879755,4,4,0.7546611244456737
Gm60271,0.13220686575,0.029876115794852182,4,4,0.7546611244456737
Gm5471,-0.15622749200000008,0.029885811087081413,4,4,0.7546611244456737
Gm53067,0.136958226875,0.02992093402326046,4,4,0.7546611244456737
Vmn1r45,-0.13088458725000002,0.02992281916058078,4,4,0.7546611244456737
Or6f2,-0.22871338325,0.029925954879338978,4,4,0.7546611244456737
Tnfaip2,-0.19260612900000007,0.030016869450174552,4,4,0.7546611244456737
Cyp2c54,-0.14230969049999997,0.030017188878250466,4,4,0.7546611244456737
Sntg2,0.33271048975000006,0.03007902544639612,4,4,0.7546611244456737
Gm54468,-0.20480500924999998,0.030094617252336173,4,4,0.7546611244456737
