"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.33633508504186e-37,0.832328886611916,0.571,0.272,2.79584006082134e-32,"18","CENPC"
8.36192770185743e-37,0.622693897960893,0.559,0.254,2.80442331264894e-32,"18","OLFM2"
8.51871103196372e-37,0.933209229375771,0.305,0.103,2.85700530589999e-32,"18","PIGQ"
8.71789179364485e-37,0.968494911214822,0.354,0.13,2.92380654975261e-32,"18","WIPF3"
1.03295623997847e-36,0.625767944677645,0.454,0.189,3.46432863763978e-32,"18","CAMKK2"
1.22700361349617e-36,0.678650232313577,0.554,0.251,4.11512471894347e-32,"18","IQSEC3"
1.39530104771836e-36,0.825072869407028,0.42,0.168,4.67956065383785e-32,"18","FAM78B"
1.62188777968306e-36,0.682151966456737,0.6,0.291,5.43948723550105e-32,"18","CATSPER2"
1.64470625911834e-36,0.835553747040782,0.493,0.216,5.51601585183108e-32,"18","TUSC3"
1.65757087189824e-36,0.899132320893669,0.444,0.187,5.55916119017231e-32,"18","AMMECR1"
1.76985014287936e-36,0.807508258080406,0.627,0.31,5.93572340918879e-32,"18","TTN-AS1"
1.84808539063778e-36,0.717537538028612,0.515,0.232,6.19810878312097e-32,"18","FCHO2"
2.1677822478125e-36,0.999150468595348,0.268,0.086,7.27030810271356e-32,"18","AC004784.1"
2.21181202108095e-36,0.665221832073323,0.72,0.379,7.41797515630129e-32,"18","ANKRD26"
2.59731395015703e-36,1.14193221063645,0.288,0.097,8.71087152603666e-32,"18","GLS2"
2.88832964569719e-36,0.784415976535131,0.307,0.106,9.68687996573923e-32,"18","DOC2A"
3.29254236976786e-36,0.682535370005637,0.559,0.261,1.10425285997275e-31,"18","PPIP5K1"
3.45629890574618e-36,0.954254697685172,0.354,0.132,1.15917352700915e-31,"18","TUB"
3.49449523473846e-36,0.984167830984218,0.388,0.153,1.17198381182658e-31,"18","HS6ST1"
4.05539982701473e-36,0.697938765462505,0.524,0.238,1.3600999939842e-31,"18","IGSF9B"
4.11378615706343e-36,1.00608018890162,0.371,0.143,1.37968160135593e-31,"18","DMTN"
4.65617716862152e-36,0.622464170820095,0.434,0.18,1.56158869881229e-31,"18","NGLY1"
