,GSM1412394,GSM1412395,GSM1412396,GSM1412397,GSM1412398,GSM1412399,GSM1412400,GSM1412401,GSM1412402,GSM1412403,GSM1412404,GSM1412405,GSM1412406,GSM1412407,GSM1412408,GSM1412409,GSM1412410,GSM1412411,GSM1412412,GSM1412413,GSM1412415,GSM1412417,GSM1412420,GSM1412422,GSM1015323,GSM1015324,GSM1015325,GSM1015326,GSM1015331,GSM1015332,GSM1015333,GSM1015334,GSM1015335
1600012H06Rik,7.52149837435712,7.28095007491904,7.41865073707087,7.47391484309786,7.49795344227381,7.46770434565499,7.63223501289554,7.58904448402835,7.5580668836212,7.42230758010577,7.47409878654289,7.31798951734282,7.44822593936976,7.53576128010407,7.92171176857752,7.42571283229044,7.72390167890268,7.37458869989607,7.82377309829453,7.68781596574292,7.54119316539302,7.50166448885446,7.77909087207666,7.70060463787064,7.44879432834055,7.37285185939961,7.39877442396976,7.71249289460557,8.08663197066419,7.63206329611427,7.20641372218492,7.43844328278882,7.58738420597557
1600014C10Rik,7.60932691695167,7.36078165205655,7.26809044870151,7.09290770141619,7.49204984883794,7.24817372760687,7.47909898072843,7.32931865475295,7.34751699734754,7.51791061021421,7.24150977424874,7.29940976738801,7.29277580833191,7.34093303703347,7.11915235085107,7.39879285558594,7.63231997526147,6.94489297685005,7.07148508977129,7.07221978676483,7.19880871867384,7.04593050089855,7.67502131464547,7.22308427367143,7.25879877517012,7.15244947945724,7.04576403967663,7.21463134151371,7.6950814449935,7.28014090592799,7.10256059229513,7.33998111874606,7.54299719396645
1700007G11Rik,3.99105634196554,3.63530384892887,3.62828844401076,3.58081079633269,4.03237206523911,3.0767639828797,4.07983630473803,3.37172928080571,3.42364408837262,2.10160020568556,4.0813597364536,4.02713898006426,4.22731168287431,3.70918939729175,3.90515577424968,3.10533554782486,4.20715390027324,4.00066752296367,4.24437974214034,4.06912597952397,3.67144314910175,3.68258005267449,4.0958566341931,4.10212060766645,3.44873910456647,3.96367756109564,3.63247741358257,3.46182395714003,4.39348230522551,3.78276927991815,3.73912419745196,3.40656586643011,3.90651577289843
1700009P17Rik,5.40052672827232,4.71692800422531,5.24488544759643,5.63593477840484,5.79618675908567,5.4669997996733,5.39645743950273,5.63923379443598,5.38635953259218,5.60662936874657,5.21016930528431,5.7625188883651,5.63235196320563,5.49316425197567,6.03046921473513,5.59949108393184,6.04727513916351,4.93449594560261,5.70548190494334,5.30695492421972,5.90096902994367,5.405517313121,6.15410526621373,6.63688069486443,5.38323816218897,5.67822867595597,5.71709158391739,5.11785226596967,5.95289974080405,5.60754330295729,5.32410486583064,5.05248188839338,5.65031171087276
1700019D03Rik,6.94973408512,7.88119764030724,7.75457373206093,7.2756916216677,7.16283178700137,7.14255278842184,7.29772132529916,7.24169193241584,7.33879650262222,7.71614507115404,7.70479024339323,7.11640852203871,7.28210949844174,7.33176845454225,6.77946778668445,7.17554258480032,7.14170096862443,7.86022340219902,7.9483953479239,7.74341084671091,7.06070857252325,7.14928024648946,6.91974738890051,7.08791392836861,7.2775346856142,7.35797202692376,7.46214170630927,7.4979114857645,7.46889984084033,7.40771003545646,7.50109734566696,7.39122026564453,7.75864970705904
1700021F05Rik,8.36568257612787,8.47389951738313,8.38323980730129,8.28177505608793,8.29832116094531,8.51478489491316,8.37641716660162,8.38298872170845,8.39064668570446,8.5457310855923,8.29730551316118,8.55235943413359,8.26851508703327,8.50197284210611,8.32691414657028,8.00563350823777,8.18595682628242,7.96015575655221,8.20977092261994,8.23339978522897,8.24530941000126,8.20139977116055,8.29597828030658,8.18306385837426,8.44053184210306,8.36930264756851,8.08143510625191,8.19856641837794,8.46088582557504,8.36090734207506,8.33889835935494,8.30237093065754,8.22483445471452
1700021K19Rik,7.17779990184001,6.73055333020394,6.72972891551247,6.71110648227476,6.91608223396722,7.02688404877661,6.73003008864437,7.25170727563888,6.84534989363299,7.04164476343699,7.00174992964682,7.53138499552665,6.86973618001372,7.11562508509293,6.18617886963905,6.38411879508237,5.83430539847456,6.12970192754363,6.25780887574983,5.69009229647299,5.97413313692262,6.3035715053663,6.30342088085048,6.17622295423343,6.50542334560631,6.63039709076333,6.25771569700788,6.84853979238325,6.54161390765998,6.32195330929239,6.74529283636084,6.6801449817583,6.83345287420794
1700025G04Rik,8.57055750281667,8.86532435660376,8.85222122558297,8.56829844982322,8.53287646275099,8.59431439081369,8.71767811812641,8.63930487525958,8.6785964731582,8.8587035533277,8.79469922157765,8.75131065046716,8.73095064484717,8.70562527792731,8.11248777568196,8.62352519201328,8.07397818103213,8.0718607400445,8.33968462112385,8.44017683166738,8.47376513191842,8.51596089917077,8.28043331344594,8.46837484975894,8.51773577811471,8.36211973335781,8.32390039261433,8.73709257040874,8.96132370388533,8.80338575240328,8.39018332669541,8.68598356251216,8.38836018146247
1700029P11Rik,2.54398714446798,4.01757892125488,4.16996475907964,2.19576257354766,3.71121012816685,2.07257948731609,2.12614305912218,0.969203243336077,2.3486779438168,2.08611568076365,4.74160554735332,1.20014573566957,3.91887046022517,4.37507378479545,2.1808543349974,2.14748692758083,2.12633981321664,3.07398119052368,3.8448057156422,3.84989407752125,2.32979491373085,4.01503396957227,1.81049168798452,1.37122782773952,3.53021828942259,3.3894905703341,3.51027249113799,3.51610429686529,2.85616686915854,2.35993634808475,2.81913746445985,2.67845511611857,2.76007949324155
1700030J22Rik,1.56748652716472,1.66244024157501,1.81566656543218,1.32936647069144,1.51384474601011,2.69595117659469,1.80145222495851,1.2045961624127,1.24014015938951,2.80442122976923,3.44748373593764,1.75733294092034,1.72496133048933,2.31817169823025,1.90610582478228,2.44245200822458,2.29636182914959,2.47846161074152,2.40982649855086,2.02324606615993,2.13110968441525,2.23491100840137,1.80798883006876,1.80307000035748,2.04597310295071,2.26778824879716,2.40120608661781,2.26685465394996,2.19477009485188,1.99678654462679,1.84949923689412,2.00878652356546,2.13578834598214
